Date,Time,Weather,Temperature (F),Cunningham,ISB,Library,Taylor,DI Hub,Merrill,Cartwright,Architecture Building,Collision or Bird,Bird ID,Observer Name,Notes
4/5/2023,8:08 AM,Windy/Partly Cloudy,42,No,Yes,No,0,0,0,0,0,Bird,SP. 001,Stephanie,
4/19/2023,7:59 AM,Still/Sunny,33,No,No,No,0,0,0,0,0,NA,NA,Stephanie,
4/24/2023,8:05 AM,Still/Cloudy,40,No,No,No,0,0,0,0,0,NA,NA,Stephanie,
4/26/2023,8:06 AM,Still/Cloudy,39,No,No,No,0,0,0,0,0,NA,NA,Stephanie,
5/10/2023,12:29 PM,Still/Sunny,65,No ,No,No,0,0,0,0,0,NA,NA,Stephanie,
5/20/2023,7:10 PM,Still/Sunny,83,No,Yes,No,0,Yes,0,0,0,Bird,"SP. 002, SP. 003",Stephanie,
5/31/2023,Unknown,Between partly cloudy and cloudy,61,Yes,0,0,0,0,0,0,0,Bird,MK. 001,Dr. Kershner,Male Yellow
6/6/2023,9:48 AM,Still/Partly Cloud,61,No,No,Yes   ,0,Yes,0,No,No,Bird,"GC. 001, GC. 002",Grace,
6/8/2023,9:15 AM,Breezy/Cloudy,56,No,No,No,Yes,No,No,No,No,Bird,GC. 003,Grace,
6/16/2023,5:50 PM,Windy/Partly Cloudy,63,Yes,Yes,No,No,No,No,No,No,Bird,"SP. 004, SP. 005",Stephanie,
6/21/2023,2:40 PM,Partly Cloudy/Windy,81,No,No,No,No,No,No,No,No,NA,NA,Stephanie,
6/26/2023,11:43 AM,Cloudy/ Windy,73,No,No,No,No,No,No,No,No,NA,NA,Stephanie,
7/3/2023,2:05 PM,Cloudy/Still,76,No,No,No,No,No,No,No,No,NA,NA,Stephanie and Grace,
7/6/2023,9:23 AM,Sunny/Still,79,No,No,No,No,No,No,No,Yes,Bird,SP. 006,Stephanie and Grace,
7/12/2023,1:44 PM,Partly Cloudy/Windy,79,No,No,No,No,No,No,No,No,NA,NA,Stephanie,
7/14/2023,8:24 PM,Sunny/Still,78,No,No,No,No,No,No,No,No,NA,NA,Stephanie,
7/18/2023,9:40 AM,Party Cloudy/ Light breeze,68,No,No,No,No,No,No,No,No,NA,NA,Stephanie and Grace,
7/20/2023,9:30 AM,Mostly Cloudy/ Windy,77,No,No,No,No,No,No,No,No,NA,NA,Stephanie and Grace,
7/28/2023,9:40 AM,Mostly Cloudy/ Windy,78,No,No,No,No,No,No,No,No,NA,NA,Grace,
7/31/2023,9:30 AM,Sunny/Still,70,Yes,No,No,No,No,No,No,No,Bird,GC. 004,Grace,
8/10/2023,9:30 AM,Cloudy/Light rain,66,No,No,No,No,No,No,No,No,NA,NA,Grace,
8/14/2023,9:30 AM,Mostly Cloudy/ Slight Breeze,74,No,No,No,No,No,No,No,No,NA,NA,Grace,
8/18/2023,10:46 AM,Partly Cloudy/Windy,66,No,No,No,No,No,Yes,No,No,Bird,"SP. 007, SP. 008",Stephanie,
9/8/2023,5:05 PM,Cloudy/ Windy,70,Yes,No,No,0,0,0,0,0,Bird,SP. 009,Stephanie/ Caitlyn,Deceased bird with only bones and several feathers left behind
9/11/2023,9:45 AM,Cloudy,67,No,Yes,No,0,0,0,0,0,Both,CS 001,Caitlyn,Deceased bird with only bones left found on grate at ISB; others were collision marks only (collisions deleted from data)
9/13/2023,4:40 PM,Mostly Cloudy/Windy,66,No,No,No,No,0,0,0,0,NA,NA,Stephanie,
9/15/2023,5:47 PM,Sunny/Breezy,70,0,0,0,0,No,No,No,No,N/A,N/A,Allison,
9/18/2023,8:40,Cloud,55,0,0,0,0,No,No,No,No,N/A,N/A,Allison,
9/25/2023,8:40 AM,cloudy ,60,No,no,yes,no,no,no,no,no,bird,CS 002,Caitlyn,deceased bird found under library window (facing towards the isb); possible female goldfinch
9/26/2023,8:50 AM,cloudy,60,0,0,0,0,no,no,no,no,0,0,Allison,
10/5/2023,12:45,partially cloudy,77,0,0,0,0,no,no,no,no,0,0,Allison,
10/9/2023,9:00 AM,Cloudy,42,No,0,No,0,0,0,0,0,0,0,Caitlyn,
10/10/2023,1:40 PM,Cloudy,55,0,0,0,0,No,No,No,No,0,0,Allison,
10/25/2023,2:30 PM,Partly Cloudy/Windy,68,No,No,No,No ,0,0,0,0,0,0,Stephanie,
10/27/2023,10:48,"cloudy, breeze",67,0,0,0,0,No,0,0,0,0,0,Allison,
10/27/2023,4:24 PM,"cloudy, breeze",72,0,0,0,0,0,No,No,No,0,0,Allison,
11/4/2023,3:40,cloudy,56,0,0,0,0,No,No,No,No,0,0,Allison,
11/18/2023,10:28,partly cloudy,41,0,0,0,0,No,No,No,No,0,0,Allison,
11/21/2023,4:21,cloudy,46,0,0,0,0,No,No,No,No,0,0,Allison,
